INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1120,ACTUAL,8
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1219,ACTUAL,8
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1291,ACTUAL,8
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,31,ACTUAL,9
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,31,ACTUAL,9
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,35,ACTUAL,9
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,28,ACTUAL,9
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,35,ACTUAL,9
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,36,ACTUAL,9
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,36,ACTUAL,9
