OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2025-01-01,18,0,2025-01-02T01:00:00-00:00,2025-01-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,200.26308,ACTUAL,7
2025-01-01,22,0,2025-01-02T05:00:00-00:00,2025-01-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.36729,ACTUAL,7
2025-01-01,17,0,2025-01-02T00:00:00-00:00,2025-01-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,187.9794,ACTUAL,7
2025-01-01,5,0,2025-01-01T12:00:00-00:00,2025-01-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.78942,ACTUAL,7
2025-01-01,16,0,2025-01-01T23:00:00-00:00,2025-01-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,761.57097,ACTUAL,7
2025-01-01,11,0,2025-01-01T18:00:00-00:00,2025-01-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1118.94435,ACTUAL,7
2025-01-01,15,0,2025-01-01T22:00:00-00:00,2025-01-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,931.77239,ACTUAL,7
2025-01-01,4,0,2025-01-01T11:00:00-00:00,2025-01-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.82151,ACTUAL,7
2025-01-01,14,0,2025-01-01T21:00:00-00:00,2025-01-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,881.86476,ACTUAL,7
2025-01-01,21,0,2025-01-02T04:00:00-00:00,2025-01-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.16053,ACTUAL,7
