PNODE_ID,TAC_AREA_NAME,UNMATCHED_REASON,TRADING_HUB,PNODE_ID_LOWER,PNODE_ID_STRIPPED,PNODE_ID_LEN
ELK_GNODEESC,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,elk_gnodeesc,ELK_GNODEESC,12
CAS_PP_GNODE4,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,cas_pp_gnode4,CAS_PP_GNODE4,13
HAY_GS_GNODE1,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,hay_gs_gnode1,HAY_GS_GNODE1,13
HAY_GS_GNODE11,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,hay_gs_gnode11,HAY_GS_GNODE11,14
SCA_GS_GNODE1,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,sca_gs_gnode1,SCA_GS_GNODE1,13
SCA_GS_GNODE7,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,sca_gs_gnode7,SCA_GS_GNODE7,13
ALMOND2_1_UNIT3GNODE,TIDC,"in TAC map, not in hub map (load/intertie PNodes expected)",,almond2_1_unit3gnode,ALMOND2_1_UNIT3GNODE,20
ROSS_SCL_2_GEN43GNODE,SCL,"in TAC map, not in hub map (load/intertie PNodes expected)",,ross_scl_2_gen43gnode,ROSS_SCL_2_GEN43GNODE,21
OG_PP_GNODECG,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,og_pp_gnodecg,OG_PP_GNODECG,13
KY_2_UNIT6GNODE,SRP,"in TAC map, not in hub map (load/intertie PNodes expected)",,ky_2_unit6gnode,KY_2_UNIT6GNODE,15
ST_2_UNIT3GNODE,SRP,"in TAC map, not in hub map (load/intertie PNodes expected)",,st_2_unit3gnode,ST_2_UNIT3GNODE,15
SSLR_1_SOLARGNODE,SRP,"in TAC map, not in hub map (load/intertie PNodes expected)",,sslr_1_solargnode,SSLR_1_SOLARGNODE,17
ALMND2_NODEGN2,TIDC,"in TAC map, not in hub map (load/intertie PNodes expected)",,almnd2_nodegn2,ALMND2_NODEGN2,14
HAWKNS_7_N1,TIDC,"in TAC map, not in hub map (load/intertie PNodes expected)",,hawkns_7_n1,HAWKNS_7_N1,11
WALTID_6_N1,TIDC,"in TAC map, not in hub map (load/intertie PNodes expected)",,waltid_6_n1,WALTID_6_N1,11
GARRETT_1_SOLAR1GNODE,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,garrett_1_solar1gnode,GARRETT_1_SOLAR1GNODE,21
SPV_3_UNIT4GNODE,SRP,"in TAC map, not in hub map (load/intertie PNodes expected)",,spv_3_unit4gnode,SPV_3_UNIT4GNODE,16
JUNPCYN1_NODE_4,AVRN,"in TAC map, not in hub map (load/intertie PNodes expected)",,junpcyn1_node_4,JUNPCYN1_NODE_4,15
GORDBUTP_1_GORDGNODE,NWMT,"in TAC map, not in hub map (load/intertie PNodes expected)",,gordbutp_1_gordgnode,GORDBUTP_1_GORDGNODE,20
HARDIN_A_1_RMTNGNODE,NWMT,"in TAC map, not in hub map (load/intertie PNodes expected)",,hardin_a_1_rmtngnode,HARDIN_A_1_RMTNGNODE,20
COLLGPNM_GNODEPV,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,collgpnm_gnodepv,COLLGPNM_GNODEPV,16
HONDALE_1_DEMINGPVGNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,hondale_1_demingpvgnode,HONDALE_1_DEMINGPVGNODE,23
LORDBURG_1_GEN2GTGNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,lordburg_1_gen2gtgnode,LORDBURG_1_GEN2GTGNODE,22
LOS_MORR_GNODELUNAS,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,los_morr_gnodelunas,LOS_MORR_GNODELUNAS,19
ALAMOGCP_1_OTEROPVGNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,alamogcp_1_oteropvgnode,ALAMOGCP_1_OTEROPVGNODE,23
LOSMORRO_1_LOSLUNASPVGNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,losmorro_1_loslunaspvgnode,LOSMORRO_1_LOSLUNASPVGNODE,26
EBCTP_7_GENGNODE,TPWR,"in TAC map, not in hub map (load/intertie PNodes expected)",,ebctp_7_gengnode,EBCTP_7_GENGNODE,16
FOUR_5_UNIT5GNODE,SRP,"in TAC map, not in hub map (load/intertie PNodes expected)",,four_5_unit5gnode,FOUR_5_UNIT5GNODE,17
FC_5_FCST5_APSGNODE,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,fc_5_fcst5_apsgnode,FC_5_FCST5_APSGNODE,19
ALDER_NODE11,TPWR,"in TAC map, not in hub map (load/intertie PNodes expected)",,alder_node11,ALDER_NODE11,12
ELCERRO_GNODELK,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,elcerro_gnodelk,ELCERRO_GNODELK,15
